iter	Passed	Remaining
285	2086	5208
286	2088	5187
287	2089	5166
288	2107	5183
289	2120	5191
290	2137	5207
291	2138	5185
292	2140	5164
293	2147	5155
294	2149	5137
295	2151	5116
296	2152	5095
297	2155	5077
298	2164	5074
299	2165	5053
300	2167	5033
301	2182	5043
302	2186	5029
303	2197	5031
304	2202	5017
305	2215	5023
306	2216	5003
307	2219	4986
308	2245	5020
309	2252	5013
310	2260	5008
311	2262	4988
312	2263	4967
313	2264	4947
314	2266	4928
315	2277	4930
316	2279	4910
317	2282	4895
318	2293	4897
319	2296	4879
320	2299	4863
321	2308	4860
322	2314	4851
323	2326	4853
324	2327	4833
325	2329	4815
326	2330	4796
327	2332	4778
328	2345	4782
329	2347	4765
330	2348	4746
331	2366	4761
332	2378	4764
333	2379	4745
334	2383	4731
335	2393	4729
336	2394	4711
337	2416	4732
338	2417	4714
339	2430	4718
340	2433	4702
341	2443	4701
342	2445	4684
343	2447	4666
344	2449	4649
345	2451	4634
346	2453	4616
347	2456	4602
348	2459	4588
349	2461	4571
350	2463	4554
351	2464	4537
352	2470	4527
353	2472	4512
354	2475	4497
355	2477	4481
356	2489	4484
357	2492	4470
358	2505	4474
359	2507	4457
360	2509	4441
361	2531	4462
362	2536	4450
363	2541	4441
364	2556	4447
365	2566	4445
366	2567	4428
367	2568	4411
368	2571	4397
369	2579	4392
370	2583	4379
371	2587	4368
372	2592	4358
373	2600	4352
374	2601	4336
375	2604	4321
376	2616	4324
377	2620	4312
378	2635	4317
379	2636	4302
380	2648	4302
381	2651	4289
382	2653	4275
383	2664	4274
384	2669	4264
385	2680	4263
386	2682	4249
387	2726	4301
388	2729	4286
389	2743	4290
390	2747	4278
391	2748	4262
392	2759	4262
393	2764	4252
394	2769	4241
395	2770	4225
396	2772	4210
397	2781	4207
398	2783	4192
399	2784	4177
400	2786	4162
401	2787	4147
402	2796	4142
403	2798	4127
404	2816	4138
405	2817	4122
406	2819	4107
407	2826	4101
408	2828	4087
409	2831	4074
410	2834	4061
411	2846	4061
412	2852	4053
413	2884	4082
414	2917	4113
415	2943	4131
416	2944	4117
417	2950	4107
